94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
A000009,A000009,A000009,A000009,A000009,A000009,A000022,A000022,A000014,A000014,A000014,A000014,A000014,A000014,A000014,A000014,A000014,A000014,A000022,A000055,A000055,A000055,A000055,A000055,A000055
A000017,A000017,A000052,A000052,A000022,A000014,A000031,A000031,A000022,A000022,A000022,A000022,A000022,A000022,A000022,A000022,A000022,A000022,A000055,A000210,A000360,A000360,A000360,A000148,A000148
A000018,A000031,A000069,A000069,A000052,A000022,A000069,A000069,A000031,A000069,A000069,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000069,A000360,A000367,A000367,A000367,A000369,A000369
A000031,A000052,A000076,A000076,A000069,A000052,A000103,A000103,A000069,A000109,A000109,A000069,A000069,A000069,A000069,A000069,A000069,A000069,A000210,A000361,A000368,A000369,A000369,A000370,A000370
A000052,A000069,A000103,A000103,A000076,A000069,A000189,A000189,A000103,A000209,A000210,A000109,A000109,A000109,A000109,A000109,A000109,A000210,A000358,A000367,A000369,A000370,A000370,A000371,A000371
A000073,A000103,A000170,A000189,A000103,A000103,A000209,A000209,A000109,A000210,A000215,A000210,A000210,A000121,A000121,A000121,A000210,A000358,A000360,A000368,A000370,A000371,A000371,A000372,A000372
A000103,A000118,A000189,A000207,A000189,A000189,A000212,A000210,A000121,A000211,A000217,A000215,A000215,A000210,A000210,A000210,A000357,A000360,A000361,A000369,A000371,A000372,A000372,A000375,A000375
A000118,A000127,A000195,A000208,A000207,A000208,A000213,A000212,A000189,A000214,A000355,A000217,A000217,A000217,A000357,A000357,A000358,A000361,A000362,A000370,A000372,A000374,A000374,A000376,A000376
A000127,A000170,A000207,A000212,A000208,A000209,A000214,A000213,A000209,A000215,A000356,A000355,A000355,A000357,A000358,A000358,A000360,A000362,A000365,B000013,A000373,A000375,A000375,A000377,A000377
A000170,A000177,A000208,A000213,A000209,A000212,A000215,A000214,A000210,A000217,B000013,A000356,A000356,A000358,A000359,A000360,A000361,A000363,A000366,B000213,A000374,B000213,A000376,A000378,A000379
A000189,A000189,A000212,A000214,A000212,A000213,A000217,A000215,A000211,A000224,B000028,A000357,A000357,A000359,A000360,A000361,A000362,A000364,A000367,B000243,B000213,B000287,A000377,B000444,A000380
A000195,A000195,A000213,A000215,A000213,A000214,A000219,A000217,A000212,B000008,B000072,B000013,B000013,B000013,A000361,B000013,A000363,A000365,A000368,B000287,B000287,B000444,A000378,B000490,B000444
A000202,A000202,A000214,A000219,A000214,A000215,A000224,A000219,A000213,B000013,B000078,B000028,B000072,B000072,B000013,B000072,B000013,B000013,A000369,B000444,B000444,B000490,B000490,B000574,B000490
A000207,A000207,A000215,A000220,A000215,A000217,A000226,A000224,A000214,B000028,B000081,B000072,B000081,B000081,B000072,B000208,B000072,B000208,B000013,B000490,B000490,B000574,B000574,B000575,B000574
A000208,A000208,A000219,A000221,A000219,A000219,A000337,A000226,A000215,B000072,B000104,B000081,B000104,B000104,B000104,B000213,B000208,B000213,B000208,B000574,B000574,B000575,B000575,B000668,B000668
A000212,A000212,A000221,A000224,A000224,A000224,B000024,A000337,A000217,B000078,B000134,B000104,B000134,B000134,B000208,B000220,B000213,B000243,B000213,B000575,B000575,B000755,B000755,B000740,B000740
A000215,A000214,A000222,A000329,A000337,A000226,B000072,B000072,A000224,B000104,B000169,B000134,B000169,B000169,B000213,B000243,B000243,B000287,B000220,B000589,B000589,B000944,B000944,B000755,B000825
A000219,A000215,A000224,A000337,B000024,A000337,B000104,B000104,A000226,B000134,B000177,B000169,B000177,B000177,B000220,B000287,B000287,B000382,B000243,B000711,B000711,B001135,B001135,B000825,B000944
A000221,A000219,A000329,B000024,B000063,B000024,B000153,B000153,A000337,B000151,B000179,B000177,B000179,B000208,B000243,B000382,B000382,B000410,B000287,B000755,B000755,B001227,B001230,B000944,B001223
A000222,A000221,A000337,B000029,B000153,B000104,B000204,B000204,B000008,B000177,B000208,B000179,B000208,B000213,B000287,B000410,B000410,B000420,B000410,B000911,B000911,B001230,B001236,B001135,B001224
A000224,A000222,B000024,B000037,B000160,B000153,B000213,B000213,B000072,B000179,B000213,B000208,B000213,B000220,B000382,B000420,B000420,B000444,B000444,B000944,B000944,B001236,B001243,B001223,B001230
A000337,A000224,B000029,B000047,B000204,B000160,B000229,B000229,B000104,B000208,B000220,B000213,B000220,B000243,B000403,B000444,B000444,B000461,B000461,B001135,B001135,B001243,B001248,B001224,B001236
B000025,A000337,B000037,B000063,B000229,B000204,B000236,B000236,B000153,B000213,B000229,B000220,B000229,B000287,B000410,B000461,B000461,B000468,B000468,B001227,B001227,B001245,B001250,B001230,B001243
B000029,B000024,B000063,B000153,B000236,B000213,B000243,B000243,B000179,B000229,B000243,B000229,B000243,B000382,B000420,B000463,B000468,B000490,B000490,B001230,B001230,B001248,B001251,B001236,B001248
B000063,B000025,B000083,B000160,B000243,B000229,B000318,B000318,B000204,B000243,B000287,B000243,B000287,B000400,B000444,B000468,B000490,B000574,B000574,B001236,B001236,B001250,B001257,B001243,B001257
B000083,B000029,B000153,B000243,B000298,B000236,B000371,B000371,B000213,B000287,B000318,B000287,B000382,B000403,B000463,B000490,B000574,B000575,B000575,B001242,B001243,B001251,B001260,B001248,B001260
B000178,B000063,B000160,B000280,B000318,B000243,B000392,B000392,B000229,B000318,B000382,B000382,B000400,B000410,B000468,B000574,B000575,B000589,B000589,B001243,B001245,B001257,B001261,B001251,B001261
