bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
A000002,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
A000016,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MS,Democrat,,,,
A000024,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Republican,,,,
A000054,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Democrat,,,,
A000062,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VT,Republican,,,,
A000073,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OK,Democrat,,,,
A000094,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NC,Democrat,,,,
A000105,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AR,Independent Democrat,,,,
A000106,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Republican,,,,
A000138,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,IL,Republican,1959-01-03,,,
A000161,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CO,Republican,,,,
A000179,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MN,Republican,1959-01-03,,,
A000186,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NM,Democrat,,,,
A000200,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MT,Democrat,,,,
A000206,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AL,Democrat,,,,
A000216,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,IL,Republican,1959-01-03,,,
A000216,Republican Whip,CongressLeadershipJob,86,1959-01-03,1961-01-03,,,Republican,1959-01-03,1961-01-03,,
A000222,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Democrat,,,,
