date,average_age,min_age,max_age,median_age,std_dev,q1_age,q3_age
1961-01-03,53.759,31.318,86.026,53.64,10.758,45.377,61.492
1961-01-04,53.764,31.321,86.029,53.697,10.767,45.355,61.5
1961-01-05,53.767,31.324,86.031,53.7,10.767,45.358,61.502
1961-01-06,53.77,31.326,86.034,53.703,10.767,45.361,61.505
1961-01-07,53.773,31.329,86.037,53.706,10.767,45.363,61.508
1961-01-08,53.775,31.332,86.04,53.708,10.767,45.366,61.511
1961-01-09,53.778,31.335,86.042,53.711,10.767,45.369,61.513
1961-01-10,53.781,31.337,86.045,53.714,10.767,45.372,61.516
1961-01-11,53.784,31.34,86.048,53.717,10.767,45.374,61.519
1961-01-12,53.786,31.343,86.051,53.719,10.767,45.377,61.522
1961-01-13,53.789,31.346,86.053,53.722,10.767,45.38,61.524
1961-01-14,53.792,31.348,86.056,53.725,10.767,45.383,61.527
1961-01-15,53.795,31.351,86.059,53.728,10.767,45.385,61.53
1961-01-16,53.797,31.354,86.062,53.73,10.767,45.388,61.533
1961-01-17,53.8,31.357,86.064,53.733,10.767,45.391,61.535
1961-01-18,53.803,31.359,86.067,53.736,10.767,45.394,61.538
1961-01-19,53.829,31.362,86.07,53.793,10.763,45.452,61.546
1961-01-20,53.832,31.365,86.073,53.796,10.763,45.455,61.548
1961-01-21,53.834,31.368,86.075,53.799,10.763,45.458,61.551
1961-01-22,53.837,31.37,86.078,53.802,10.763,45.461,61.554
1961-01-23,53.84,31.373,86.081,53.804,10.763,45.463,61.556
1961-01-24,53.843,31.376,86.084,53.807,10.763,45.466,61.559
1961-01-25,53.845,31.379,86.086,53.81,10.763,45.469,61.562
1961-01-26,53.848,31.381,86.089,53.812,10.763,45.472,61.565
1961-01-27,53.851,31.384,86.092,53.815,10.763,45.474,61.567
1961-01-28,53.854,31.387,86.094,53.818,10.763,45.477,61.57
1961-01-29,53.856,31.389,86.097,53.821,10.763,45.48,61.573
1961-01-30,53.859,31.392,86.1,53.823,10.763,45.483,61.576
1961-01-31,53.862,31.395,86.103,53.826,10.763,45.485,61.578
1961-02-01,53.865,31.398,86.105,53.829,10.763,45.488,61.581
1961-02-02,53.867,31.4,86.108,53.832,10.763,45.491,61.584
1961-02-03,53.87,31.403,86.111,53.834,10.763,45.493,61.587
1961-02-04,53.873,31.406,86.114,53.837,10.763,45.496,61.589
1961-02-05,53.876,31.409,86.116,53.84,10.763,45.499,61.592
1961-02-06,53.878,31.411,86.119,53.843,10.763,45.502,61.595
1961-02-07,53.881,31.414,86.122,53.845,10.763,45.504,61.598
1961-02-08,53.884,31.417,86.125,53.848,10.763,45.507,61.6
1961-02-09,53.886,31.42,86.127,53.851,10.763,45.51,61.603
1961-02-10,53.889,31.422,86.13,53.854,10.763,45.513,61.606
1961-02-11,53.892,31.425,86.133,53.856,10.763,45.515,61.608
1961-02-12,53.895,31.428,86.136,53.859,10.763,45.518,61.611
1961-02-13,53.897,31.431,86.138,53.862,10.763,45.521,61.614
1961-02-14,53.9,31.433,86.141,53.864,10.763,45.524,61.617
1961-02-15,53.903,31.436,86.144,53.867,10.763,45.526,61.619
1961-02-16,53.886,31.439,86.146,53.815,10.763,45.513,61.591
1961-02-17,53.889,31.441,86.149,53.818,10.763,45.516,61.594
1961-02-18,53.892,31.444,86.152,53.821,10.763,45.519,61.597
1961-02-19,53.895,31.447,86.155,53.823,10.763,45.522,61.6
1961-02-20,53.897,31.45,86.157,53.826,10.763,45.524,61.602
1961-02-21,53.9,31.452,86.16,53.829,10.763,45.527,61.605
1961-02-22,53.903,31.455,86.163,53.832,10.763,45.53,61.608
1961-02-23,53.905,31.458,86.166,53.834,10.763,45.533,61.611
1961-02-24,53.908,31.461,86.168,53.837,10.763,45.535,61.613
1961-02-25,53.911,31.463,86.171,53.84,10.763,45.538,61.616
1961-02-26,53.914,31.466,86.174,53.843,10.763,45.541,61.619
1961-02-27,53.916,31.469,86.177,53.845,10.763,45.543,61.621
1961-02-28,53.919,31.472,86.179,53.848,10.763,45.546,61.624
1961-03-01,53.922,31.474,86.182,53.851,10.763,45.549,61.627
1961-03-02,53.925,31.477,86.185,53.854,10.763,45.552,61.63
1961-03-03,53.927,31.48,86.188,53.856,10.763,45.554,61.632
1961-03-04,53.93,31.483,86.19,53.859,10.763,45.557,61.635
1961-03-05,53.933,31.485,86.193,53.862,10.763,45.56,61.638
1961-03-06,53.936,31.488,86.196,53.864,10.763,45.563,61.641
1961-03-07,53.938,31.491,86.198,53.867,10.763,45.565,61.643
1961-03-08,53.941,31.493,86.201,53.87,10.763,45.568,61.646
1961-03-09,53.944,31.496,86.204,53.873,10.763,45.571,61.649
1961-03-10,53.947,31.499,86.207,53.875,10.763,45.574,61.652
1961-03-11,53.949,31.502,86.209,53.878,10.763,45.576,61.654
1961-03-12,53.952,31.504,86.212,53.881,10.763,45.579,61.657
1961-03-13,53.955,31.507,86.215,53.884,10.763,45.582,61.66
1961-03-14,53.957,31.51,86.218,53.886,10.763,45.585,61.663
1961-03-15,53.96,31.513,86.22,53.889,10.763,45.587,61.665
1961-03-16,53.963,31.515,86.223,53.892,10.763,45.59,61.668
1961-03-17,53.966,31.518,86.226,53.895,10.763,45.593,61.671
1961-03-18,53.968,31.521,86.229,53.897,10.763,45.595,61.674
1961-03-19,53.971,31.524,86.231,53.9,10.763,45.598,61.676
1961-03-20,53.974,31.526,86.234,53.903,10.763,45.601,61.679
1961-03-21,53.977,31.529,86.237,53.906,10.763,45.604,61.682
1961-03-22,53.979,31.532,86.24,53.908,10.763,45.606,61.684
1961-03-23,53.982,31.535,86.242,53.911,10.763,45.609,61.687
1961-03-24,53.985,31.537,86.245,53.914,10.763,45.612,61.69
1961-03-25,53.988,31.54,86.248,53.916,10.763,45.615,61.693
1961-03-26,53.99,31.543,86.251,53.919,10.763,45.617,61.695
1961-03-27,53.993,31.546,86.253,53.922,10.763,45.62,61.698
1961-03-28,53.996,31.548,86.256,53.925,10.763,45.623,61.701
1961-03-29,53.999,31.551,86.259,53.927,10.763,45.626,61.704
1961-03-30,54.001,31.554,86.261,53.93,10.763,45.628,61.706
1961-03-31,54.004,31.556,86.264,53.933,10.763,45.631,61.709
1961-04-01,54.007,31.559,86.267,53.936,10.763,45.634,61.712
1961-04-02,54.01,31.562,86.27,53.938,10.763,45.637,61.715
1961-04-03,54.012,31.565,86.272,53.941,10.763,45.639,61.717
1961-04-04,54.015,31.567,86.275,53.944,10.763,45.642,61.72
1961-04-05,54.018,31.57,86.278,53.947,10.763,45.645,61.723
1961-04-06,54.02,31.573,86.281,53.949,10.763,45.648,61.726
1961-04-07,54.023,31.576,86.283,53.952,10.763,45.65,61.728
1961-04-08,54.026,31.578,86.286,53.955,10.763,45.653,61.731
1961-04-09,54.029,31.581,86.289,53.958,10.763,45.656,61.734
1961-04-10,54.031,31.584,86.292,53.96,10.763,45.658,61.736
1961-04-11,54.034,31.587,86.294,53.963,10.763,45.661,61.739
1961-04-12,54.037,31.589,86.297,53.966,10.763,45.664,61.742
1961-04-13,54.04,31.592,86.3,53.969,10.763,45.667,61.745
1961-04-14,54.042,31.595,86.303,53.971,10.763,45.669,61.747
1961-04-15,54.045,31.598,86.305,53.974,10.763,45.672,61.75
1961-04-16,54.048,31.6,86.308,53.977,10.763,45.675,61.753
1961-04-17,54.051,31.603,86.311,53.979,10.763,45.678,61.756
1961-04-18,54.053,31.606,86.313,53.982,10.763,45.68,61.758
1961-04-19,54.056,31.608,86.316,53.985,10.763,45.683,61.761
1961-04-20,54.059,31.611,86.319,53.988,10.763,45.686,61.764
1961-04-21,54.062,31.614,86.322,53.99,10.763,45.689,61.767
1961-04-22,54.064,31.617,86.324,53.993,10.763,45.691,61.769
1961-04-23,54.067,31.619,86.327,53.996,10.763,45.694,61.772
1961-04-24,54.07,31.622,86.33,53.999,10.763,45.697,61.775
1961-04-25,54.072,31.625,86.333,54.001,10.763,45.7,61.778
1961-04-26,54.075,31.628,86.335,54.004,10.763,45.702,61.78
1961-04-27,54.078,31.63,86.338,54.007,10.763,45.705,61.783
1961-04-28,54.081,31.633,86.341,54.01,10.763,45.708,61.786
1961-04-29,54.083,31.636,86.344,54.012,10.763,45.71,61.789
1961-04-30,54.086,31.639,86.346,54.015,10.763,45.713,61.791
1961-05-01,54.089,31.641,86.349,54.018,10.763,45.716,61.794
1961-05-02,54.064,31.644,86.352,53.966,10.773,45.654,61.775
1961-05-03,54.067,31.647,86.355,53.969,10.773,45.656,61.778
1961-05-04,54.069,31.65,86.357,53.971,10.773,45.659,61.781
1961-05-05,54.072,31.652,86.36,53.974,10.773,45.662,61.784
1961-05-06,54.075,31.655,86.363,53.977,10.773,45.665,61.786
1961-05-07,54.078,31.658,86.366,53.979,10.773,45.667,61.789
1961-05-08,54.08,31.661,86.368,53.982,10.773,45.67,61.792
1961-05-09,54.083,31.663,86.371,53.985,10.773,45.673,61.795
1961-05-10,54.086,31.666,86.374,53.988,10.773,45.676,61.797
1961-05-11,54.088,31.669,86.376,53.99,10.773,45.678,61.8
1961-05-12,54.091,31.671,86.379,53.993,10.773,45.681,61.803
1961-05-13,54.094,31.674,86.382,53.996,10.773,45.684,61.806
1961-05-14,54.097,31.677,86.385,53.999,10.773,45.687,61.808
1961-05-15,54.099,31.68,86.387,54.001,10.773,45.689,61.811
1961-05-16,54.102,31.682,86.39,54.004,10.773,45.692,61.814
1961-05-17,54.105,31.685,86.393,54.007,10.773,45.695,61.817
1961-05-18,54.108,31.688,86.396,54.01,10.773,45.697,61.819
1961-05-19,54.11,31.691,86.398,54.012,10.773,45.7,61.822
1961-05-20,54.113,31.693,86.401,54.015,10.773,45.703,61.825
1961-05-21,54.116,31.696,86.404,54.018,10.773,45.706,61.828
1961-05-22,54.134,31.699,86.407,54.075,10.77,45.733,61.877
1961-05-23,54.137,31.702,86.409,54.078,10.77,45.736,61.88
1961-05-24,54.14,31.704,86.412,54.081,10.77,45.739,61.883
1961-05-25,54.143,31.707,86.415,54.084,10.77,45.741,61.886
1961-05-26,54.145,31.71,86.418,54.086,10.77,45.744,61.888
1961-05-27,54.148,31.713,86.42,54.089,10.77,45.747,61.891
1961-05-28,54.151,31.715,86.423,54.092,10.77,45.749,61.894
1961-05-29,54.154,31.718,86.426,54.094,10.77,45.752,61.897
1961-05-30,54.156,31.721,86.428,54.097,10.77,45.755,61.899
1961-05-31,54.159,31.723,86.431,54.1,10.77,45.758,61.902
1961-06-01,54.162,31.726,86.434,54.103,10.77,45.76,61.905
1961-06-02,54.165,31.729,86.437,54.105,10.77,45.763,61.908
1961-06-03,54.167,31.732,86.439,54.108,10.77,45.766,61.91
1961-06-04,54.17,31.734,86.442,54.111,10.77,45.769,61.913
1961-06-05,54.173,31.737,86.445,54.114,10.77,45.771,61.916
1961-06-06,54.176,31.74,86.448,54.116,10.77,45.774,61.919
1961-06-07,54.178,31.743,86.45,54.119,10.77,45.777,61.921
1961-06-08,54.181,31.745,86.453,54.122,10.77,45.78,61.924
1961-06-09,54.184,31.748,86.456,54.125,10.77,45.782,61.927
1961-06-10,54.187,31.751,86.459,54.127,10.77,45.785,61.93
1961-06-11,54.189,31.754,86.461,54.13,10.77,45.788,61.932
1961-06-12,54.192,31.756,86.464,54.133,10.77,45.791,61.935
1961-06-13,54.195,31.759,86.467,54.136,10.77,45.793,61.938
1961-06-14,54.197,31.762,86.47,54.138,10.77,45.796,61.94
1961-06-15,54.151,31.765,86.472,54.045,10.793,45.723,61.875
1961-06-16,54.154,31.767,86.475,54.048,10.793,45.726,61.877
1961-06-17,54.157,31.77,86.478,54.051,10.793,45.728,61.88
1961-06-18,54.159,31.773,86.48,54.053,10.793,45.731,61.883
1961-06-19,54.162,31.775,86.483,54.056,10.793,45.734,61.886
1961-06-20,54.165,31.778,86.486,54.059,10.793,45.736,61.888
1961-06-21,54.168,31.781,86.489,54.062,10.793,45.739,61.891
1961-06-22,54.17,31.784,86.491,54.064,10.793,45.742,61.894
1961-06-23,54.173,31.786,86.494,54.067,10.793,45.745,61.897
1961-06-24,54.176,31.789,86.497,54.07,10.793,45.747,61.899
1961-06-25,54.179,31.792,86.5,54.073,10.793,45.75,61.902
1961-06-26,54.181,31.795,86.502,54.075,10.793,45.753,61.905
1961-06-27,54.184,31.797,86.505,54.078,10.793,45.756,61.908
1961-06-28,54.187,31.8,86.508,54.081,10.793,45.758,61.91
1961-06-29,54.19,31.803,86.511,54.084,10.793,45.761,61.913
1961-06-30,54.192,31.806,86.513,54.086,10.793,45.764,61.916
1961-07-01,54.195,31.808,86.516,54.089,10.793,45.767,61.919
1961-07-02,54.198,31.811,86.519,54.092,10.793,45.769,61.921
1961-07-03,54.2,31.814,86.522,54.094,10.793,45.772,61.924
1961-07-04,54.203,31.817,86.524,54.097,10.793,45.775,61.927
1961-07-05,54.206,31.819,86.527,54.1,10.793,45.778,61.93
1961-07-06,54.209,31.822,86.53,54.103,10.793,45.78,61.932
1961-07-07,54.211,31.825,86.533,54.105,10.793,45.783,61.935
1961-07-08,54.214,31.828,86.535,54.108,10.793,45.786,61.938
1961-07-09,54.217,31.83,86.538,54.111,10.793,45.789,61.94
1961-07-10,54.22,31.833,86.541,54.114,10.793,45.791,61.943
1961-07-11,54.222,31.836,86.543,54.116,10.793,45.794,61.946
1961-07-12,54.225,31.838,86.546,54.119,10.793,45.797,61.949
1961-07-13,54.228,31.841,86.549,54.122,10.793,45.799,61.951
1961-07-14,54.231,31.844,86.552,54.125,10.793,45.802,61.954
1961-07-15,54.233,31.847,86.554,54.127,10.793,45.805,61.957
1961-07-16,54.236,31.849,86.557,54.13,10.793,45.808,61.96
1961-07-17,54.239,31.852,86.56,54.133,10.793,45.81,61.962
1961-07-18,54.242,31.855,86.563,54.136,10.793,45.813,61.965
1961-07-19,54.244,31.858,86.565,54.138,10.793,45.816,61.968
1961-07-20,54.247,31.86,86.568,54.141,10.793,45.819,61.971
1961-07-21,54.25,31.863,86.571,54.144,10.793,45.821,61.973
1961-07-22,54.252,31.866,86.574,54.146,10.793,45.824,61.976
1961-07-23,54.255,31.869,86.576,54.149,10.793,45.827,61.979
1961-07-24,54.258,31.871,86.579,54.152,10.793,45.83,61.982
1961-07-25,54.261,31.874,86.582,54.155,10.793,45.832,61.984
1961-07-26,54.263,31.877,86.585,54.157,10.793,45.835,61.987
1961-07-27,54.266,31.88,86.587,54.16,10.793,45.838,61.99
1961-07-28,54.269,31.882,86.59,54.163,10.793,45.841,61.992
1961-07-29,54.272,31.885,86.593,54.166,10.793,45.843,61.995
1961-07-30,54.274,31.888,86.595,54.168,10.793,45.846,61.998
1961-07-31,54.277,31.89,86.598,54.171,10.793,45.849,62.001
1961-08-01,54.28,31.893,86.601,54.174,10.793,45.851,62.003
1961-08-02,54.283,31.896,86.604,54.177,10.793,45.854,62.006
1961-08-03,54.285,31.899,86.606,54.179,10.793,45.857,62.009
1961-08-04,54.288,31.901,86.609,54.182,10.793,45.86,62.012
1961-08-05,54.291,31.904,86.612,54.185,10.793,45.862,62.014
1961-08-06,54.294,31.907,86.615,54.188,10.793,45.865,62.017
1961-08-07,54.296,31.91,86.617,54.19,10.793,45.868,62.02
1961-08-08,54.299,31.912,86.62,54.193,10.793,45.871,62.023
1961-08-09,54.302,31.915,86.623,54.196,10.793,45.873,62.025
1961-08-10,54.304,31.918,86.626,54.198,10.793,45.876,62.028
1961-08-11,54.307,31.921,86.628,54.201,10.793,45.879,62.031
1961-08-12,54.31,31.923,86.631,54.204,10.793,45.882,62.034
1961-08-13,54.313,31.926,86.634,54.207,10.793,45.884,62.036
1961-08-14,54.315,31.929,86.637,54.209,10.793,45.887,62.039
1961-08-15,54.318,31.932,86.639,54.212,10.793,45.89,62.042
1961-08-16,54.321,31.934,86.642,54.215,10.793,45.893,62.044
1961-08-17,54.324,31.937,86.645,54.218,10.793,45.895,62.047
1961-08-18,54.326,31.94,86.648,54.22,10.793,45.898,62.05
1961-08-19,54.329,31.943,86.65,54.223,10.793,45.901,62.053
1961-08-20,54.332,31.945,86.653,54.226,10.793,45.903,62.055
1961-08-21,54.335,31.948,86.656,54.229,10.793,45.906,62.058
1961-08-22,54.337,31.951,86.658,54.231,10.793,45.909,62.061
1961-08-23,54.34,31.953,86.661,54.234,10.793,45.912,62.064
1961-08-24,54.343,31.956,86.664,54.237,10.793,45.914,62.066
1961-08-25,54.346,31.959,86.667,54.24,10.793,45.917,62.069
1961-08-26,54.348,31.962,86.669,54.242,10.793,45.92,62.072
1961-08-27,54.351,31.964,86.672,54.245,10.793,45.923,62.075
1961-08-28,54.354,31.967,86.675,54.248,10.793,45.925,62.077
1961-08-29,54.357,31.97,86.678,54.251,10.793,45.928,62.08
1961-08-30,54.359,31.973,86.68,54.253,10.793,45.931,62.083
1961-08-31,54.362,31.975,86.683,54.256,10.793,45.934,62.086
1961-09-01,54.365,31.978,86.686,54.259,10.793,45.936,62.088
1961-09-02,54.367,31.981,86.689,54.261,10.793,45.939,62.091
1961-09-03,54.37,31.984,86.691,54.264,10.793,45.942,62.094
1961-09-04,54.373,31.986,86.694,54.267,10.793,45.945,62.097
1961-09-05,54.376,31.989,86.697,54.27,10.793,45.947,62.099
1961-09-06,54.378,31.992,86.7,54.272,10.793,45.95,62.102
1961-09-07,54.381,31.995,86.702,54.275,10.793,45.953,62.105
1961-09-08,54.384,31.997,86.705,54.278,10.793,45.956,62.107
1961-09-09,54.387,32.0,86.708,54.281,10.793,45.958,62.11
1961-09-10,54.389,32.003,86.71,54.283,10.793,45.961,62.113
1961-09-11,54.392,32.005,86.713,54.286,10.793,45.964,62.116
