bioguide_id,chamber,congress_number,region_type,region_code,party,start_date,end_date
A000002,Representative,86,State,VA,Democrat,1959-01-03,1961-01-02
A000016,Representative,86,State,MS,Democrat,1959-01-03,1961-01-02
A000024,Representative,86,State,IN,Republican,1959-01-03,1961-01-02
A000054,Representative,86,State,NJ,Democrat,1959-01-03,1961-01-02
A000062,Senator,86,State,VT,Republican,1959-01-03,1961-01-02
A000073,Representative,86,State,OK,Democrat,1959-01-03,1961-01-02
A000094,Representative,86,State,NC,Democrat,1959-01-03,1961-01-02
A000105,Representative,86,State,AR,Independent Democrat,1959-01-03,1961-01-02
A000106,Representative,86,State,TX,Republican,1959-01-03,1961-01-02
A000138,Representative,86,State,IL,Republican,1959-01-03,1961-01-02
A000161,Senator,86,State,CO,Republican,1959-01-03,1961-01-02
A000179,Representative,86,State,MN,Republican,1959-01-03,1961-01-02
A000186,Senator,86,State,NM,Democrat,1959-01-03,1961-01-02
A000200,Representative,86,State,MT,Democrat,1959-01-03,1961-01-02
A000206,Representative,86,State,AL,Democrat,1959-01-03,1961-01-02
A000216,Representative,86,State,IL,Republican,1959-01-03,1961-01-02
A000222,Representative,86,State,OH,Democrat,1959-01-03,1961-01-02
A000223,Representative,86,State,SC,Democrat,1959-01-03,1961-01-02
A000225,Representative,86,State,CO,Democrat,1959-01-03,1961-01-02
A000227,Representative,86,State,NJ,Republican,1959-01-03,1961-01-02
A000228,Representative,86,State,KS,Republican,1959-01-03,1961-01-02
A000229,Representative,86,State,OH,Republican,1959-01-03,1961-01-02
A000255,Representative,86,State,NY,Democrat,1959-01-03,1961-01-02
B000035,Representative,86,State,WV,Democrat,1959-01-03,1961-01-02
B000062,Representative,86,State,TN,Republican,1959-01-03,1961-01-02
B000092,Representative,86,State,CA,Republican,1959-01-03,1961-01-02
B000139,Representative,86,State,NC,Democrat,1959-01-03,1961-01-02
B000141,Representative,86,State,NV,Democrat,1959-01-03,1961-01-02
B000170,Representative,86,State,IN,Democrat,1959-01-03,1961-01-02
B000178,Representative,86,State,PA,Democrat,1959-01-03,1961-01-02
B000190,Representative,86,State,NY,Republican,1959-01-03,1961-01-02
B000201,Senator,86,State,AK,Democrat,1959-01-03,1961-01-02
B000222,Representative,86,State,NH,Republican,1959-01-03,1961-01-02
B000223,Representative,86,State,TN,Democrat,1959-01-03,1961-01-02
B000239,Representative,86,State,MA,Republican,1959-01-03,1961-01-02
B000245,Representative,86,State,OH,Republican,1959-01-03,1961-01-02
B000271,Senator,86,State,MD,Republican,1959-01-03,1961-01-02
B000292,Representative,86,State,NY,Republican,1959-01-03,1961-01-02
B000296,Representative,86,State,TX,Democrat,1959-01-03,1961-01-02
B000323,Representative,86,State,OK,Republican,1959-01-03,1961-01-02
B000371,Representative,86,State,FL,Democrat,1959-01-03,1961-01-02
B000377,Representative,86,State,MI,Republican,1959-01-03,1961-01-02
B000384,Senator,86,State,UT,Republican,1959-01-03,1961-01-02
