bioguide_id,first_name,last_name,birth_date
A000002,Watkins,Abbitt,1908-05-21
A000009,James,Abdnor,1923-02-13
A000011,Homer,Abele,1916-11-21
A000014,Neil,Abercrombie,1938-06-26
A000016,Thomas,Abernethy,1903-05-16
A000017,James,Abourezk,1931-02-24
A000018,Bella,Abzug,1920-07-24
A000022,Gary,Ackerman,1942-11-19
A000024,Edwin,Adair,1907-12-14
A000031,Brockman,Adams,1927-01-13
A000052,Joseph,Addabbo,1925-03-17
A000054,Hugh,Addonizio,1914-01-31
A000055,Robert,Aderholt,1965-07-22
A000062,George,Aiken,1892-08-20
A000069,Daniel,Akaka,1924-09-11
A000073,Carl,Albert,1908-05-10
A000076,Donald,Albosta,1925-12-05
A000094,Hugh,Alexander,1911-08-07
A000103,William,Alexander,1934-01-16
A000105,Thomas,Alford,1916-01-28
A000106,Bruce,Alger,1918-06-12
A000109,A.,Allard,1943-12-02
A000118,Clifford,Allen,1912-01-06
A000121,George,Allen,1952-03-08
A000127,James,Allen,1912-12-28
A000138,Leo,Allen,1898-10-05
A000148,Jake,Auchincloss,1988-01-29
A000161,Gordon,Allott,1907-01-02
A000170,Jerome,Ambro,1928-06-27
A000177,Joseph,Ammerman,1924-07-14
A000179,Herman,Andersen,1897-01-27
A000186,Clinton,Anderson,1895-10-23
A000189,Glenn,Anderson,1913-02-21
A000195,John,Anderson,1922-02-15
A000200,LeRoy,Anderson,1906-02-02
A000202,Wendell,Anderson,1933-02-01
A000203,William,Anderson,1921-06-17
A000205,Elizabeth,Andrews,1911-02-12
A000206,George,Andrews,1906-12-12
A000207,Ike,Andrews,1925-09-02
A000208,Mark,Andrews,1926-05-19
A000209,Michael,Andrews,1944-02-07
A000210,Robert,Andrews,1957-08-04
A000211,Thomas,Andrews,1953-03-22
A000212,Frank,Annunzio,1915-01-12
A000213,Beryl,Anthony,1938-02-21
A000214,Douglas,Applegate,1928-03-27
A000215,William,Archer,1928-03-22
A000216,Leslie,Arends,1895-09-27
A000217,Richard,Armey,1940-07-07
A000219,William,Armstrong,1937-03-16
A000220,Jean,Ashbrook,1934-09-21
A000221,John,Ashbrook,1928-09-21
A000222,Thomas,Ashley,1923-01-11
A000223,Robert,Ashmore,1904-02-22
A000224,Leslie,Aspin,1938-07-21
A000225,Wayne,Aspinall,1896-04-03
A000226,Chester,Atkins,1948-04-14
A000227,James,Auchincloss,1885-01-19
A000228,William,Avery,1911-08-11
A000229,William,Ayres,1916-02-05
A000255,Victor,Anfuso,1905-03-10
A000329,Eugene,Atkinson,1927-04-05
A000337,Les,Aucoin,1942-10-21
